Job Title,Company,Location,Salary,Posting Date,Extract Date,Summary,Job Url
Catastrophe Modeling Analyst,Aon Corporation,"Bengaluru, Karnataka",,,13-03-2022,"['Prepare property insurance policy data for catastrophe risk analysis using Microsoft Access, SQL Query Analyzer and other data conversion tools.']",https://in.indeed.com/rc/clk?jk=83efc12cafa81445&fccid=dc08cb56cb2d6276&vjs=3
Data Scientist II,Chegg,"Jasola, Delhi, Delhi",,,13-03-2022,"['Excellent data visualization skills using Tableau/Domo or other data visualization tools.', 'Advanced SQL and data manipulation skills.']",https://in.indeed.com/rc/clk?jk=5e7304f703703962&fccid=a5cbd2514edf7804&vjs=3
Growth Marketing Internship,Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=e1467c4450b780dc&fccid=5780b449d988d84f&vjs=3
Business Insights Analyst,Chegg,"Jasola, Delhi, Delhi",,,13-03-2022,"['We use a world-class set of instrumentation, analysis and data science technologies to transform our data into insights and then into knowledge.']",https://in.indeed.com/rc/clk?jk=87b599d8bf84d944&fccid=a5cbd2514edf7804&vjs=3
Site Reliability Engineering Internship (6 months),Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=42c2755543da365d&fccid=5780b449d988d84f&vjs=3
Analyst - Project Management for Marketing team- Hyderabad,Deloitte,"Hyderabad, Telangana",,,13-03-2022,"['Prepare reports illustrating data graphically and translating complex findings into written text.', 'Experience in managing projects either at a university level,…']",https://in.indeed.com/rc/clk?jk=aa7d0c5e8f6e7e2d&fccid=9e215d88a6b33622&vjs=3
Sales Incentives Analyst,Red Hat Software,"Pune, Maharashtra",,,13-03-2022,"['Work on ad hoc reporting requests; maintain data quality of production and ad hoc reports.', 'Prior experience working with sales, business consulting, or…']",https://in.indeed.com/rc/clk?jk=d0d15c5d82300747&fccid=e24a60f01d1882d1&vjs=3
Web Developer,Logicwell Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","₹8,086 - ₹20,546 a month",,13-03-2022,"['Work in a data analyst role and with business intelligence applications.', 'The ideal candidate is a highly resourceful and innovative developer with extensive…']",https://in.indeed.com/company/Logicwell-Technologies-Pvt.-Ltd./jobs/Web-Developer-d0c41e1cb13e5673?fccid=a56bd4bc62550daf&vjs=3
Site Visit Intern (Maharashtra),Biltrax Construction Data,"Mumbai, Maharashtra+1 location",,,13-03-2022,"['We enable Sales, Marketing & Business Development Teams of Construction Material Manufacturers, Distributors, Turnkey & Trade Contractors, Design, Engineering &…']",https://in.indeed.com/company/Biltrax/jobs/Site-Visit-Intern-2cb5fad3a0acfea4?fccid=49847436d484f205&vjs=3
Intern Trainee,Vigyanlabs Innovations Pvt Ltd,"Mysore, Karnataka","₹7,000 - ₹9,000 a month",,13-03-2022,"['Work with data scientists and analysts to improve software.', 'We are looking for interns for technical coder role for a period of 3-6 months who to produce…']",https://in.indeed.com/company/Vigyanlabs-Innovations-Pvt-Ltd/jobs/Intern-Trainee-f8f14d533961d0df?fccid=7f824fc7ac166840&vjs=3
2022 Global Data Analytics - Mumbai,Bloomberg,"Mumbai, Maharashtra",,,13-03-2022,"['Bloomberg runs on data, and data drives the market.', 'Stakeholder management exposure through school or work/internship.']",https://in.indeed.com/rc/clk?jk=73cd6622d05327e6&fccid=f770da67b3b51c62&vjs=3
Global Financial Analyst,Bekaert NV,"Pune, Maharashtra",,,13-03-2022,"['Ensures the timely execution of reports with data integrity,.', 'Financial modeling & data gathering on ST & LT planning exercises including actual reporting.']",https://in.indeed.com/rc/clk?jk=3c5fe6164a0c2983&fccid=c9e13fc8d241507b&vjs=3
,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",,,13-03-2022,"[""1-3 years' relevant internship/business experience; financial services industry or background in controls, audit, quality assurance, operational risk management…""]",https://in.indeed.com/rc/clk?jk=53578aee6daff2f5&fccid=aaf3b433897ea465&vjs=3
Analyst,Crisil,"Mumbai, Maharashtra",,,13-03-2022,"['Work experience or demonstrated past internship experience in Financial Services, consulting, project management, or data analytics.']",https://in.indeed.com/rc/clk?jk=d3cd19f96fe66cb2&fccid=a16d9ed628a37fab&vjs=3
CRL2.0 Business Analysts - Senior,EY,"Thiruvananthapuram, Kerala",,,13-03-2022,"['Previous experience or internship in software organizations in similar roles is an added advantage.', 'EY is looking for passionate, result oriented and quality…']",https://in.indeed.com/rc/clk?jk=b3dda9a735d320e9&fccid=1544766d4c2915b0&vjs=3
